image_path,ph,N,P,K,rainfall,temp,lat,lon,crop_label
eurosat/2750/AnnualCrop/AnnualCrop_1025.jpg,6.1,68,30,30,859,16.5,13.89,69.11,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1026.jpg,5.9,61,11,20,2348,25.1,23.47,83.78,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1027.jpg,6.6,93,33,21,507,23.1,31.71,86.45,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1028.jpg,5.9,97,27,47,1010,24.3,16.52,77.64,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1029.jpg,5.9,124,26,39,1059,20.4,20.31,85.67,Maize
eurosat/2750/AnnualCrop/AnnualCrop_103.jpg,6.0,94,35,43,735,25.0,13.39,94.69,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1030.jpg,5.6,146,17,36,972,27.7,22.25,94.19,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1031.jpg,6.2,62,22,26,932,20.0,15.02,91.16,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1032.jpg,7.3,98,28,15,937,16.0,21.25,90.57,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1033.jpg,6.4,123,11,48,926,21.8,11.94,84.39,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1034.jpg,6.8,70,28,10,1910,30.8,24.75,68.27,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1035.jpg,5.6,120,49,39,1103,28.0,19.14,96.7,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1036.jpg,7.4,68,14,10,695,24.5,32.61,93.71,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1037.jpg,6.9,98,20,42,866,23.0,28.44,75.49,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1038.jpg,7.0,67,33,23,535,17.3,23.2,83.04,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1039.jpg,6.1,89,50,11,401,17.9,33.17,87.03,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_104.jpg,6.8,94,31,46,802,26.4,15.76,74.53,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1040.jpg,6.5,132,49,45,647,26.3,23.26,74.03,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1041.jpg,5.6,67,22,16,1969,25.1,33.85,73.22,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1042.jpg,5.8,45,35,13,1835,29.7,12.86,88.31,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1043.jpg,6.5,83,13,27,882,24.1,28.25,70.46,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1044.jpg,5.6,73,25,29,2112,32.4,10.59,72.07,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1045.jpg,7.1,54,26,13,639,16.3,24.28,77.68,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1046.jpg,6.2,61,17,37,1741,29.9,34.66,90.02,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1047.jpg,6.3,129,10,18,665,20.7,15.12,77.49,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1048.jpg,7.0,110,39,40,976,28.6,15.15,95.94,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1049.jpg,6.5,60,41,33,443,15.1,18.9,72.94,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_105.jpg,7.3,147,18,27,1113,20.9,12.61,91.32,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1050.jpg,6.1,85,43,27,953,22.3,23.25,91.69,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1051.jpg,6.9,73,19,50,428,23.5,29.13,86.72,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1052.jpg,6.4,78,20,24,2923,32.1,19.81,79.72,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1053.jpg,6.1,101,24,39,1025,23.7,17.9,96.06,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1054.jpg,7.0,98,32,49,402,18.5,17.26,69.85,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1055.jpg,5.9,98,14,39,707,21.8,20.57,76.83,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1056.jpg,7.5,75,22,26,912,23.1,24.95,70.93,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1057.jpg,6.5,111,39,27,793,27.1,11.09,87.07,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1058.jpg,6.7,97,26,33,690,24.7,24.72,74.28,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1059.jpg,5.6,110,46,32,878,20.9,24.2,91.75,Maize
eurosat/2750/AnnualCrop/AnnualCrop_106.jpg,7.2,64,19,34,631,23.4,17.42,68.97,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1060.jpg,5.6,69,18,29,1693,32.8,32.78,80.91,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1061.jpg,6.0,69,49,17,2174,26.7,33.8,79.1,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1062.jpg,6.3,122,13,39,936,28.3,25.6,94.67,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1063.jpg,6.6,60,32,14,1793,31.8,27.65,86.39,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1064.jpg,6.6,60,22,17,2899,31.3,18.52,77.44,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1065.jpg,6.8,68,23,34,1604,34.2,12.77,73.1,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1066.jpg,5.7,50,42,15,2558,31.2,36.52,78.41,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1067.jpg,6.6,66,30,13,2242,33.9,33.65,93.14,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1068.jpg,6.6,99,20,12,426,21.3,19.77,86.66,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1069.jpg,7.4,77,27,28,755,21.0,24.71,96.68,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_107.jpg,5.8,72,44,30,2628,32.5,11.3,72.41,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1070.jpg,5.5,108,32,47,677,29.5,30.14,92.61,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1071.jpg,6.6,85,44,30,441,21.2,22.64,69.91,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1072.jpg,5.7,75,48,32,2998,27.9,22.79,85.48,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1073.jpg,6.4,125,44,46,822,28.6,19.83,82.73,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1074.jpg,5.6,47,34,27,2194,28.9,35.64,92.68,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1075.jpg,6.5,100,43,28,502,23.0,31.28,73.8,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1076.jpg,6.5,129,22,38,635,22.1,32.74,68.14,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1077.jpg,7.0,53,17,41,411,18.2,8.57,75.02,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1078.jpg,6.3,61,43,27,1693,26.8,22.71,89.03,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1079.jpg,7.5,138,15,41,915,20.1,28.86,74.07,Maize
eurosat/2750/AnnualCrop/AnnualCrop_108.jpg,6.9,126,20,30,672,24.2,13.1,87.33,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1080.jpg,6.8,97,34,10,827,23.6,21.16,71.58,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1081.jpg,6.0,130,45,36,946,23.0,23.03,75.5,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1082.jpg,6.0,77,35,16,2863,34.7,25.13,73.03,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1083.jpg,6.8,71,36,50,671,19.5,19.82,85.5,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1084.jpg,5.8,85,32,14,920,21.5,29.79,93.3,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1085.jpg,6.0,73,21,13,1994,27.2,13.96,83.03,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1086.jpg,7.1,81,34,18,887,29.9,20.82,88.49,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1087.jpg,7.0,145,35,48,873,23.0,16.09,96.35,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1088.jpg,6.1,107,45,14,893,29.1,22.43,94.2,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1089.jpg,6.5,78,19,30,2621,28.1,36.47,73.61,Rice
eurosat/2750/AnnualCrop/AnnualCrop_109.jpg,6.4,83,28,46,675,17.1,14.04,79.4,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1090.jpg,6.1,93,31,48,1003,29.0,31.92,74.74,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1091.jpg,6.6,62,36,36,946,16.0,32.67,88.7,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1092.jpg,6.9,97,35,22,691,15.9,27.71,87.49,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1093.jpg,6.3,62,30,31,1717,26.1,11.16,84.01,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1094.jpg,6.0,41,28,32,2883,30.2,18.44,76.95,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1095.jpg,6.8,76,39,32,744,17.2,21.13,76.57,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1096.jpg,6.2,57,15,19,1747,30.8,13.48,88.45,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1097.jpg,6.1,100,18,16,534,19.3,16.27,82.11,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1098.jpg,6.9,79,49,49,2860,29.4,32.29,82.02,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1099.jpg,6.6,63,37,26,794,22.6,32.26,86.86,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_11.jpg,6.0,66,36,36,1985,32.9,13.53,68.32,Rice
eurosat/2750/AnnualCrop/AnnualCrop_110.jpg,6.2,125,26,23,632,26.6,24.06,74.58,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1100.jpg,6.5,75,42,16,2586,33.1,12.62,96.25,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1101.jpg,7.4,123,10,23,698,29.2,23.19,69.13,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1102.jpg,7.0,50,28,45,673,18.2,24.63,90.45,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1103.jpg,7.5,80,45,43,938,24.6,19.18,79.34,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1104.jpg,6.5,77,17,33,2500,28.4,36.02,75.8,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1105.jpg,5.5,86,48,34,1192,30.0,9.88,74.24,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1106.jpg,7.3,75,21,29,800,18.2,13.71,91.77,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1107.jpg,6.2,44,24,42,2131,34.2,30.98,83.94,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1108.jpg,6.1,95,33,22,645,22.7,35.25,75.53,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1109.jpg,6.4,98,21,42,906,17.7,15.93,90.94,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_111.jpg,6.4,148,25,29,1058,25.9,15.21,83.06,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1110.jpg,6.1,70,50,35,994,15.2,32.03,85.99,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1111.jpg,6.5,76,15,50,2691,28.4,13.6,88.74,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1112.jpg,7.3,125,46,33,720,29.0,18.89,76.46,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1113.jpg,6.2,76,12,10,955,24.3,9.54,72.38,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1114.jpg,6.2,62,30,44,2770,32.1,25.71,90.72,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1115.jpg,5.7,150,37,20,693,23.9,24.43,93.12,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1116.jpg,6.9,70,47,14,971,17.6,31.58,82.11,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1117.jpg,6.3,134,16,32,772,20.8,21.39,92.36,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1118.jpg,7.3,130,31,32,716,24.0,28.19,92.32,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1119.jpg,6.3,79,30,47,535,24.4,19.42,96.29,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_112.jpg,7.1,62,26,33,741,15.0,11.73,82.46,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1120.jpg,6.8,85,16,26,1138,25.6,28.05,84.3,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1121.jpg,6.5,91,23,36,944,21.0,31.13,84.14,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1122.jpg,5.5,106,40,44,902,20.9,12.32,90.58,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1123.jpg,6.0,58,38,37,2207,33.1,34.23,91.65,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1124.jpg,7.0,96,29,46,954,16.7,9.54,91.67,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1125.jpg,6.0,95,34,41,1162,26.6,17.8,69.43,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1126.jpg,6.3,42,36,41,2364,30.1,16.32,95.41,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1127.jpg,7.4,87,14,39,662,28.7,14.79,88.36,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1128.jpg,7.1,139,26,44,835,21.7,30.46,73.78,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1129.jpg,6.3,148,37,45,656,22.0,11.58,83.0,Maize
eurosat/2750/AnnualCrop/AnnualCrop_113.jpg,6.2,73,33,30,1979,28.1,28.57,68.82,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1130.jpg,5.5,55,38,20,2237,25.3,13.7,79.88,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1131.jpg,6.7,88,46,26,840,16.9,20.26,74.7,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1132.jpg,5.7,104,25,25,946,27.0,8.95,92.66,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1133.jpg,5.9,49,22,45,2615,28.6,26.98,86.59,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1134.jpg,6.5,77,26,27,1543,26.1,28.39,89.41,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1135.jpg,5.9,67,36,28,2318,28.8,16.74,76.57,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1136.jpg,6.3,52,35,25,847,18.6,28.38,75.38,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1137.jpg,6.0,66,37,31,1882,34.5,19.32,83.31,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1138.jpg,6.3,64,28,46,2357,25.5,21.21,70.98,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1139.jpg,5.6,147,22,11,812,25.4,35.93,69.43,Maize
eurosat/2750/AnnualCrop/AnnualCrop_114.jpg,5.5,74,28,16,2578,34.9,18.93,78.54,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1140.jpg,5.5,50,36,40,1695,34.6,10.67,81.57,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1141.jpg,5.8,135,24,14,934,25.0,8.37,81.29,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1142.jpg,7.0,92,11,29,576,25.0,16.74,85.01,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1143.jpg,6.9,71,33,32,755,17.4,12.91,75.24,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1144.jpg,6.3,84,35,20,695,19.8,31.14,77.7,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1145.jpg,6.7,116,34,46,786,29.4,26.09,76.8,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1146.jpg,6.7,73,25,29,559,21.3,31.22,79.75,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1147.jpg,6.3,109,42,45,725,20.2,31.17,75.62,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1148.jpg,6.9,68,38,22,2994,34.9,26.99,77.98,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1149.jpg,7.1,51,32,44,850,19.3,27.84,88.85,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_115.jpg,6.0,65,33,18,1887,29.4,21.5,89.19,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1150.jpg,7.1,107,47,20,782,21.5,18.12,87.37,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1151.jpg,7.4,71,18,13,659,15.9,34.76,78.67,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1152.jpg,6.3,55,30,12,2009,33.5,28.85,87.23,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1153.jpg,6.7,73,15,44,710,21.7,8.86,93.79,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1154.jpg,6.3,65,33,47,2328,25.0,34.05,91.11,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1155.jpg,6.8,101,49,14,600,28.0,33.44,77.56,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1156.jpg,6.2,58,31,19,455,15.2,15.0,73.53,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1157.jpg,6.4,66,21,49,2041,33.1,33.9,70.39,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1158.jpg,5.8,100,22,39,962,24.7,31.43,70.63,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1159.jpg,6.3,60,29,42,2116,26.3,12.45,74.66,Rice
eurosat/2750/AnnualCrop/AnnualCrop_116.jpg,6.9,82,17,46,608,20.0,21.58,91.25,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1160.jpg,6.7,136,24,21,1060,29.4,14.72,69.71,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1161.jpg,6.2,141,15,44,718,22.5,18.44,96.45,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1162.jpg,5.8,57,14,19,2990,32.7,31.93,72.56,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1163.jpg,6.4,74,17,31,2981,32.6,22.68,92.03,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1164.jpg,5.8,133,13,48,794,29.4,25.36,79.48,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1165.jpg,6.9,67,46,47,591,24.9,22.18,70.68,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1166.jpg,6.4,99,20,24,1003,27.9,33.16,91.99,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1167.jpg,5.9,115,48,43,731,26.0,15.13,85.49,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1168.jpg,7.2,83,32,50,717,26.2,12.13,93.81,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1169.jpg,7.1,86,36,10,768,23.9,12.55,91.0,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_117.jpg,6.5,50,45,34,1797,31.9,20.52,90.55,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1170.jpg,6.5,97,45,17,1053,28.6,24.92,76.55,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1171.jpg,6.1,65,33,46,2265,27.8,28.89,82.68,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1172.jpg,6.9,72,30,47,2356,33.2,20.44,87.67,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1173.jpg,5.8,144,17,32,709,23.8,31.15,83.08,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1174.jpg,6.7,91,10,15,700,17.6,18.18,73.01,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1175.jpg,6.1,77,39,16,682,18.9,36.15,80.57,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1176.jpg,6.8,74,35,10,2579,27.9,20.68,91.95,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1177.jpg,7.0,42,39,16,2956,25.2,29.65,91.83,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1178.jpg,5.7,95,17,43,1062,29.9,36.24,72.63,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1179.jpg,6.4,79,26,36,2091,30.9,19.34,81.75,Rice
eurosat/2750/AnnualCrop/AnnualCrop_118.jpg,7.4,132,14,49,760,26.7,26.57,74.03,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1180.jpg,6.6,91,49,31,717,21.1,35.97,86.95,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1181.jpg,7.2,97,45,40,517,23.9,15.2,79.85,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1182.jpg,6.6,75,35,27,587,22.8,35.16,82.55,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1183.jpg,6.4,77,11,25,747,20.3,18.7,81.24,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1184.jpg,6.4,60,26,44,1573,30.5,29.73,68.94,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1185.jpg,6.1,135,15,38,1049,22.7,35.83,72.87,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1186.jpg,6.9,114,37,22,987,20.3,15.1,76.34,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1187.jpg,7.0,98,14,17,937,19.9,27.69,70.95,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1188.jpg,6.1,63,31,24,582,20.8,13.91,73.76,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1189.jpg,7.1,65,27,44,596,17.9,19.63,85.97,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_119.jpg,6.2,50,13,13,448,18.0,31.19,76.03,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1190.jpg,6.1,81,38,40,754,22.2,23.77,81.47,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1191.jpg,7.3,60,30,43,944,15.1,15.53,83.03,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1192.jpg,6.1,80,18,50,605,21.5,11.43,96.3,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1193.jpg,6.0,45,33,12,1711,28.1,28.29,79.12,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1194.jpg,6.2,79,50,41,2732,28.4,8.59,78.59,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1195.jpg,7.1,92,27,36,928,24.9,33.55,68.97,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1196.jpg,6.2,73,28,49,2020,25.5,8.98,83.93,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1197.jpg,6.7,50,44,48,466,24.1,27.43,72.61,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1198.jpg,6.7,45,29,37,2227,27.5,27.47,80.28,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1199.jpg,6.4,141,39,15,653,23.6,18.78,73.45,Maize
eurosat/2750/AnnualCrop/AnnualCrop_12.jpg,6.5,81,27,20,775,21.6,32.75,73.68,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_120.jpg,7.1,120,12,33,893,28.6,23.69,70.84,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1200.jpg,6.7,69,42,33,1829,31.8,18.92,76.66,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1201.jpg,6.7,95,15,33,730,17.9,11.03,84.4,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1202.jpg,6.8,124,43,11,1080,20.6,27.01,87.6,Maize
eurosat/2750/AnnualCrop/AnnualCrop_1203.jpg,7.5,92,49,43,952,24.8,25.3,84.17,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1204.jpg,7.0,94,46,33,798,20.4,20.69,87.87,Wheat
eurosat/2750/AnnualCrop/AnnualCrop_1205.jpg,6.1,80,47,15,2288,29.9,22.15,91.82,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1206.jpg,6.4,43,36,25,2628,31.5,13.22,74.13,Rice
eurosat/2750/AnnualCrop/AnnualCrop_1207.jpg,6.9,64,24,42,804,18.5,21.4,89.38,Wheat
